entity_id,state,last_changed
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,0.0,2026-05-26T07:00:00.000Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,1.1,2026-05-27T08:32:51.341Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,3.2,2026-05-27T08:32:52.378Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,9.4,2026-05-27T08:32:55.464Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,5.6,2026-05-27T08:32:56.490Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,5.7,2026-05-27T08:32:59.972Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,16.4,2026-05-27T08:34:44.420Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,25.7,2026-05-27T08:34:45.451Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,27.0,2026-05-27T08:34:46.470Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,20.4,2026-05-27T08:34:48.527Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,17.1,2026-05-27T08:34:52.647Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,30.4,2026-05-27T08:34:53.673Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,33.3,2026-05-27T08:34:54.692Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,27.0,2026-05-27T08:34:55.732Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,30.1,2026-05-27T08:34:56.749Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,33.5,2026-05-27T08:34:57.785Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,26.9,2026-05-27T08:34:58.813Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,29.3,2026-05-27T08:34:59.844Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,37.2,2026-05-27T08:35:00.876Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,34.4,2026-05-27T08:35:01.889Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,13.9,2026-05-27T08:35:02.927Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,5.1,2026-05-27T08:35:03.955Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,3.9,2026-05-27T08:35:04.975Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,8.3,2026-05-27T08:35:07.030Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,11.2,2026-05-27T08:35:10.119Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,10.0,2026-05-27T08:35:15.254Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,3.9,2026-05-27T08:35:16.281Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,5.5,2026-05-27T08:35:18.337Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,8.3,2026-05-27T08:35:19.365Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,9.8,2026-05-27T08:35:21.423Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,11.2,2026-05-27T08:35:22.458Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,30.4,2026-05-27T08:35:25.543Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,43.5,2026-05-27T08:35:26.571Z
