entity_id,state,last_changed
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,10.4,2026-06-02T09:30:04.110Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,44.2,2026-06-02T09:30:05.146Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,49.5,2026-06-02T09:30:06.174Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,52.5,2026-06-02T09:30:07.202Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,47.7,2026-06-02T09:30:08.221Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,10.0,2026-06-02T09:30:09.258Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,8.3,2026-06-02T09:30:10.277Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,33.1,2026-06-02T09:30:12.345Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,73.1,2026-06-02T09:30:13.370Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,61.7,2026-06-02T09:30:14.399Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,57.6,2026-06-02T09:30:15.418Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,24.1,2026-06-02T09:30:16.455Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,8.4,2026-06-02T09:30:17.486Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,5.6,2026-06-02T09:30:18.504Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,6.7,2026-06-02T09:30:19.531Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,42.0,2026-06-02T09:30:20.568Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,54.4,2026-06-02T09:30:22.624Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,36.7,2026-06-02T09:30:23.658Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,3.7,2026-06-02T09:30:24.681Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,31.7,2026-06-02T09:30:27.765Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,55.2,2026-06-02T09:30:28.792Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,59.7,2026-06-02T09:30:29.812Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,49.6,2026-06-02T09:30:30.849Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,3.8,2026-06-02T09:30:31.879Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,15.0,2026-06-02T09:30:32.906Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,53.1,2026-06-02T09:30:33.934Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,66.5,2026-06-02T09:30:34.962Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,58.1,2026-06-02T09:30:37.018Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,52.7,2026-06-02T09:30:39.065Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,84.1,2026-06-02T09:30:40.103Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,72.3,2026-06-02T09:30:41.131Z
sensor.shelly_plug_sg3_wk_waschmaschine_wk_waschmaschine_leistung,62.3,2026-06-02T09:30:43.189Z
